frame,car_id,bbox,license_plate_bbox,license_plate_text,speed_kmh
0,5.0,"[np.float64(2197.166015625), np.float64(1154.0797119140625), np.float64(2785.6494140625), np.float64(1736.5533447265625)]","[2407.939697265625, 1551.4271240234375, 2576.87939453125, 1638.404052734375]",,
0,3.0,"[np.float64(752.8723754882812), np.float64(1369.210693359375), np.float64(1430.7803955078125), np.float64(1982.91064453125)]","[973.7656860351562, 1753.3367919921875, 1199.72802734375, 1851.6197509765625]",OA13NRU,
1,5.0,"[np.float64(2197.3992555005066), np.float64(1154.2835581682734), np.float64(2785.55873807127), np.float64(1736.5472326269128)]","[2407.91455078125, 1551.3717041015625, 2576.935546875, 1638.369873046875]",MU51KSU,2.6327036852167476
1,3.0,"[np.float64(752.7640049748125), np.float64(1369.2584133147034), np.float64(1430.436052453832), np.float64(1982.8931949897064)]","[973.7571411132812, 1753.3359375, 1199.6212158203125, 1851.615234375]",OA13NRU,4.900224007343098
2,5.0,"[np.float64(2201.178826418825), np.float64(1163.4533364456956), np.float64(2783.907452054417), np.float64(1740.8521057981088)]","[2411.8359375, 1549.122802734375, 2583.56640625, 1641.93603515625]",HV51VSU,147.3303003831656
2,3.0,"[np.float64(750.1345371230383), np.float64(1374.3686830779595), np.float64(1425.9203650876238), np.float64(1990.0149816125188)]","[974.7025146484375, 1764.763916015625, 1203.4200439453125, 1862.90625]",,152.99313946125758
3,3.0,"[np.float64(748.0783355916205), np.float64(1378.231112696659), np.float64(1424.6947453810235), np.float64(1996.1644984043003)]","[971.7614135742188, 1775.4940185546875, 1188.5355224609375, 1863.6929931640625]",,113.78988940719027
3,5.0,"[np.float64(2196.531422503902), np.float64(1169.0065511527057), np.float64(2783.1346386032255), np.float64(1747.6872839713917)]","[2416.8408203125, 1559.7335205078125, 2584.547607421875, 1648.22802734375]",,146.0402158945616
4,3.0,"[np.float64(749.085051577626), np.float64(1380.2561166127098), np.float64(1430.169408208501), np.float64(2000.794465912953)]","[963.6485595703125, 1783.3861083984375, 1184.638916015625, 1873.4183349609375]",NA13NRU,100.32782406082723
4,5.0,"[np.float64(2196.699689616603), np.float64(1171.5289892932713), np.float64(2784.997740472163), np.float64(1751.7258230981427)]","[2410.735107421875, 1562.9150390625, 2585.170654296875, 1653.1937255859375]",HU51KSU,74.17711932489934
